length_mm,width_mm,height_mm,thickness_mm,area_mm2,moment_of_inertia_mm4,material_name,youngs_modulus_MPa,poisson_ratio,yield_strength_MPa,density_kg_m3,force_N,moment_Nmm,pressure_MPa,torque_Nmm,load_type,boundary_condition,max_stress_MPa,von_mises_stress_MPa,safety_factor,deflection_mm,strain
100.0,10.0,5.0,2.0,20.0,104.17,Aluminum_6061,69000,0.33,276,2700,100.0,0.0,0.0,0.0,0,0,13.92,13.92,19.83,4.6377,0.000202
119.19,13.88,7.44,3.66,50.72,475.48,Steel_AISI_1020,200000,0.29,350,7850,604.04,1010.1,1.02,505.05,1,1,36.64,36.57,9.55,3.5924,0.000183
138.38,17.76,9.87,5.31,94.29,1423.41,Titanium_Ti6Al4V,113800,0.342,880,4430,1108.08,2020.2,2.04,1010.1,2,2,49.14,48.94,17.91,6.0667,0.000432
157.58,21.63,12.31,6.97,150.68,3360.92,Copper_C11000,117000,0.355,220,8940,1612.12,3030.3,3.06,1515.15,0,0,32.26,32.07,6.82,5.3785,0.000276
176.77,25.51,14.74,8.62,219.92,6813.06,Stainless_Steel_304,193000,0.29,215,8000,2116.16,4040.4,4.08,2020.2,1,1,28.64,28.42,7.51,2.9861,0.000148
195.96,29.39,17.18,10.28,301.98,12416.97,Aluminum_6061,69000,0.33,276,2700,2620.2,5050.51,5.1,2525.25,2,2,35.48,35.14,7.78,7.7445,0.000514
215.15,33.27,19.62,11.93,396.89,20921.88,Steel_AISI_1020,200000,0.29,350,7850,3124.24,6060.61,6.12,3030.3,0,0,25.59,25.31,13.68,2.5067,0.000128
234.34,37.14,22.05,13.59,504.63,33189.11,Titanium_Ti6Al4V,113800,0.342,880,4430,3628.28,7070.71,7.14,3535.35,1,1,20.98,20.71,41.95,4.1741,0.000184
253.54,41.02,24.49,15.24,625.21,50192.06,Copper_C11000,117000,0.355,220,8940,4132.32,8080.81,8.16,4040.4,2,2,26.73,26.36,8.23,3.8775,0.000228
272.73,44.9,26.92,16.9,758.62,73016.23,Stainless_Steel_304,193000,0.29,215,8000,4636.36,9090.91,9.18,4545.45,0,0,22.67,22.32,9.48,2.2595,0.000117
291.92,48.78,29.36,18.55,904.87,102859.22,Aluminum_6061,69000,0.33,276,2700,5140.4,10101.01,10.2,5050.51,1,1,16.4,16.13,16.83,6.1069,0.000238
311.11,52.65,31.79,20.21,1063.95,141030.68,Steel_AISI_1020,200000,0.29,350,7850,5644.44,11111.11,11.22,5555.56,2,2,21.33,20.95,16.41,2.0444,0.000107
330.3,56.53,34.23,21.86,1235.88,188952.4,Titanium_Ti6Al4V,113800,0.342,880,4430,6148.48,12121.21,12.24,6060.61,0,0,22.09,21.69,39.84,3.4987,0.000194
